season,team1,team2,team1_resolved,team2_resolved,actual_result,team1_prob,predicted_result,predicted_winner,actual_margin,projected_margin,margin_abs_error
2003,UNC Asheville,TX Southern,UNC Asheville,Texas Southern,1,0.46693971926161665,0,TX Southern,8,-1.3862970717371437,9.386297071737143
2003,TX Southern,UNC Asheville,Texas Southern,UNC Asheville,0,0.45690783838291715,0,UNC Asheville,-8,0.9294444913988954,8.929444491398895
2003,Arizona,Vermont,Arizona,Vermont,1,0.709817434049217,1,Arizona,29,6.567014257258939,22.43298574274106
2003,Vermont,Arizona,Vermont,Arizona,0,0.2549636574907631,0,Arizona,-29,-11.335896251260325,17.664103748739677
2003,Arizona St,Memphis,Arizona State,Memphis,1,0.4683095569647489,0,Memphis,13,-0.874817781040674,13.874817781040674
2003,Memphis,Arizona St,Memphis,Arizona State,0,0.482289129823311,0,Arizona St,-13,0.07354963054170222,13.073549630541702
2003,C Michigan,Creighton,Central Michigan,Creighton,1,0.40621926579508477,0,Creighton,6,-2.426650954212248,8.426650954212247
2003,Creighton,C Michigan,Creighton,Central Michigan,0,0.5574742023925423,1,Creighton,-6,1.7288433432886583,7.728843343288658
2003,California,NC State,California,NC State,1,0.49277122894301845,0,NC State,2,-1.0224757960083388,3.022475796008339
2003,NC State,California,NC State,California,0,0.48675124218644145,0,California,-2,0.18510487621355068,2.1851048762135505
2003,Connecticut,BYU,UConn,BYU,1,0.5120189315372612,1,Connecticut,5,1.2370470230910735,3.7629529769089265
2003,BYU,Connecticut,BYU,UConn,0,0.4288052011033478,0,Connecticut,-5,-0.6054885945794157,4.394511405420584
2003,Duke,Colorado St,Duke,Colorado State,1,0.6222550428247576,1,Duke,10,4.306605754577324,5.693394245422676
2003,Colorado St,Duke,Colorado State,Duke,0,0.31797264309429857,0,Duke,-10,-6.102636189658236,3.897363810341764
2003,Gonzaga,Cincinnati,Gonzaga,Cincinnati,1,0.49582771131367054,0,Cincinnati,5,-0.42100767739545286,5.421007677395453
2003,Cincinnati,Gonzaga,Cincinnati,Gonzaga,0,0.4892840154783864,0,Gonzaga,-5,0.6423409274425956,5.6423409274425955
2003,Illinois,WKU,Illinois,Western Kentucky,1,0.6176321888573998,1,Illinois,5,3.5250121682411715,1.4749878317588285
2003,WKU,Illinois,Western Kentucky,Illinois,0,0.361109675601448,0,Illinois,-5,-4.643443696360271,0.3565563036397288
2003,Kansas,Utah St,Kansas,Utah State,1,0.6679315743802868,1,Kansas,3,3.8531836584137977,0.8531836584137977
2003,Utah St,Kansas,Utah State,Kansas,0,0.2930274480254331,0,Kansas,-3,-10.660590978296412,7.660590978296412
2003,Marquette,Holy Cross,Marquette,Holy Cross,1,0.6238044623575414,1,Marquette,4,4.006352758368416,0.006352758368415756
2003,Holy Cross,Marquette,Holy Cross,Marquette,0,0.3252824780198802,0,Marquette,-4,-3.709005908234009,0.2909940917659908
2003,Missouri,S Illinois,Missouri,Southern Illinois,1,0.5321833863218413,1,Missouri,1,1.246308959440924,0.246308959440924
2003,S Illinois,Missouri,Southern Illinois,Missouri,0,0.4353030465850896,0,Missouri,-1,-1.9617898614864437,0.9617898614864437
2003,Notre Dame,WI Milwaukee,Notre Dame,Milwaukee,1,0.5885968785360037,1,Notre Dame,1,5.725436796439884,4.725436796439884
2003,WI Milwaukee,Notre Dame,Milwaukee,Notre Dame,0,0.3930621437765138,0,Notre Dame,-1,-2.9991803913027653,1.9991803913027653
2003,Oklahoma,S Carolina St,Oklahoma,South Carolina State,1,0.7394508672212097,1,Oklahoma,17,11.040307949657606,5.959692050342394
2003,S Carolina St,Oklahoma,South Carolina State,Oklahoma,0,0.21658605862358063,0,Oklahoma,-17,-11.669064265477441,5.3309357345225585
2003,Stanford,San Diego,Stanford,San Diego,1,0.5521092329005844,1,Stanford,8,2.658206914688425,5.341793085311576
2003,San Diego,Stanford,San Diego,Stanford,0,0.3890650041945758,0,Stanford,-8,-3.481978092873517,4.518021907126483
2003,Tulsa,Dayton,Tulsa,Dayton,1,0.4208727945217825,0,Dayton,13,-2.5780823430270132,15.578082343027013
2003,Dayton,Tulsa,Dayton,Tulsa,0,0.5108053922570212,1,Dayton,-13,2.6334343125959596,15.63343431259596
2003,Wisconsin,Weber St,Wisconsin,Weber State,1,0.6250654084053591,1,Wisconsin,7,3.72196760089331,3.27803239910669
2003,Weber St,Wisconsin,Weber State,Wisconsin,0,0.3912019179659708,0,Wisconsin,-7,-0.6537031855806208,6.346296814419379
2003,Auburn,St Joseph's PA,Auburn,Saint Joseph's,1,0.40436409902664205,0,St Joseph's PA,2,-2.6514994497827655,4.651499449782765
