team,seed,region,adj_off,adj_def,adj_tempo,net_rating,eFG,opp_eFG,to_rate,forced_to_rate,orb_rate,drb_rate,ft_rate,opp_ft_rate,fg3_rate,opp_fg3_rate,stl_rate,opp_stl_rate
Arizona,1.0,West,127.696,90.0515,69.8801,37.645,55.0507491541808,45.0211366838891,15.1553266968883,16.7160378472454,38.0701754385965,73.121387283237,42.8709521507975,27.7125410991076,26.8245529241179,37.2005636449037,0.109249780524994,0.0841962594271574
Duke,1.0,East,128.001,89.0857,65.4237,38.9156,56.7724068479355,46.1793173713704,15.6928067330031,18.1475474510148,38.0952380952381,75.1987281399046,37.7643504531722,23.7391747325522,44.3605236656596,45.6953642384106,0.11528514443519,0.0942445097093762
Florida,1.0,South,125.554,91.7472,70.6229,33.8067,53.5546139359699,46.2962962962963,16.4766519777732,15.3893602228948,43.1356620633631,75.194401244168,39.0772128060264,34.0246913580247,37.1468926553672,33.7283950617284,0.0924197991646672,0.0911652317551921
Michigan,1.0,Midwest,126.703,88.3483,71.2353,38.3549,58.2492431886983,44.4232602478551,16.8642062492424,15.8101933586648,35.44921875,72.2430607651913,38.5973763874874,25.9294566253575,41.9273461150353,42.278360343184,0.0809481899963637,0.090223503433447
Houston,2.0,South,124.871,91.4713,63.36,33.3997,52.1210676835081,46.5896279594138,13.0487295549209,21.0405120158933,35.8381502890173,69.1452991452991,26.930409914204,39.0642615558061,40.8007626310772,40.9244644870349,0.118747954081114,0.0704360488085697
Iowa State,2.0,Midwest,123.846,91.4572,66.6304,32.3886,56.4697265625,49.5166487647691,15.0556768853299,22.3893876890722,35.3198948290973,71.88612099644129,33.984375,27.8732545649839,38.76953125,42.8034371643394,0.131575399714201,0.0979266089676184
Purdue,2.0,West,131.024,100.527,64.6497,30.4966,57.6583210603829,52.283341982356,13.8108076295744,15.7389398635734,36.6729678638941,73.8116591928251,28.325969563083,26.5697976128697,41.3843888070692,45.1997924234562,0.0851965405720499,0.0793673035855413
UConn,2.0,East,122.008,94.1463,64.5342,27.8621,55.3410230692076,45.656894679696,16.8414538462389,18.0349427014841,35.7142857142857,71.3204373423045,29.9899699097292,40.1737242128122,40.320962888666,36.2106406080347,0.103435700787924,0.0884065818700202
Gonzaga,3.0,West,122.066,93.9001,68.6664,28.1657,56.2619502868069,46.1902259590121,13.6792452830189,20.4974271012007,34.8017621145374,74.1157556270096,31.1185468451243,30.9511297950604,30.9751434034417,43.7204414083027,0.120497427101201,0.0754716981132075
Illinois,3.0,South,131.216,99.1185,65.6051,32.0972,55.0655241935484,47.6284584980237,13.2427252134518,11.6164256258349,38.7155963302752,73.0066445182724,32.9133064516129,20.602766798419,50.7056451612903,42.1936758893281,0.0557588430040077,0.0817796364058779
Michigan State,3.0,East,123.095,94.7832,66.1172,28.3113,53.6019210245464,48.5973597359736,17.0884606454609,14.8130949616903,38.4324834749764,77.36185383244211,36.179295624333,30.9130913091309,36.392742796158,45.984598459846,0.0761550963547713,0.0970513118179707
Virginia,3.0,Midwest,122.539,95.8198,65.8201,26.7195,54.6426835196889,45.3257086026852,15.9777700590483,15.5870093782563,37.8698224852071,70.77872012336161,33.0578512396694,33.0183988065639,46.524064171123,37.5435106911984,0.0950850989927058,0.0950850989927058
Alabama,4.0,Midwest,129.008,103.313,73.1619,25.6957,55.3842504743833,49.1836734693878,13.013470813238,12.6392815566273,31.8403908794788,67.23372781065089,37.1916508538899,32.6530612244898,53.6527514231499,35.0566893424036,0.0856477631797772,0.0852319973390986
Arkansas,4.0,West,127.518,102.097,71.17,25.4208,56.2617702448211,51.5417457305503,12.2389059159863,15.8652484096119,32.5991189427313,68.5308848080134,36.6760828625235,31.5939278937381,33.1450094161959,38.1878557874763,0.100136502948979,0.0663455842583769
Kansas,4.0,East,118.353,93.9199,67.7245,24.4333,51.5657084188912,45.2346743295019,15.5128438193767,13.9703735532455,29.4792586054722,69.8599852616065,32.5975359342916,27.6819923371648,35.6776180698152,42.0019157088123,0.0797677480484997,0.095633156500135
Nebraska,4.0,South,118.573,92.4596,66.7922,26.1132,55.4405520169851,47.8016085790885,14.3807795350445,19.1743727133927,26.2616822429907,72.3422644770959,27.1762208067941,24.8257372654156,50.7430997876858,49.2761394101877,0.106934001670844,0.0742085097801976
St. John's,5.0,East,120.089,94.1908,69.6472,25.8979,51.0033444816054,47.358024691358,14.7338010730499,19.3974411886092,35.9450726978998,69.7991967871486,41.9015766841854,31.7530864197531,33.7792642140468,33.7283950617284,0.111019397441189,0.0870821295914156
Texas Tech,5.0,Midwest,125.047,99.8823,66.2649,25.1652,56.1955965181772,49.4282744282744,15.8531067621977,14.7076510712874,33.273219116321,69.9054170249355,27.0865335381464,31.6008316008316,48.0286738351254,35.031185031185,0.0847637211273575,0.0884291793382703
Vanderbilt,5.0,South,127.309,99.178,69.0148,28.1309,55.5968301139178,48.2936918304033,13.4198260943422,18.0063489367124,31.4387211367673,68.0904522613065,38.6825160970778,41.416752843847,43.8335809806835,37.7973112719752,0.114663071059253,0.0726199450041937
Wisconsin,5.0,West,125.403,102.017,68.7807,23.3866,54.4634377967711,51.3304305757136,12.7960938239906,14.4797903797788,29.4166666666667,71.825063078217,31.9088319088319,30.4789550072569,52.6115859449193,40.1548137397194,0.0812383588167822,0.065243241536794
BYU,6.0,West,125.476,102.233,70.008,23.2434,54.6528105810109,51.1761881901104,15.3482205526815,16.4712610809265,34.5648604269294,70.7062600321027,34.1521020311762,28.900624099856,39.8205007085498,39.1742678828613,0.101905529414823,0.0890113603868251
Louisville,6.0,East,124.069,98.6563,69.7347,25.4129,56.4484126984127,48.7525458248473,16.3954549578639,16.6943304388666,32.8646748681898,73.1209150326797,33.4821428571429,33.4012219959267,52.8273809523809,39.1038696537678,0.0969210488394558,0.0922244341379844
North Carolina,6.0,South,121.416,100.566,67.9974,20.8506,54.5646437994723,48.1674096087172,14.0382758816514,13.6293940598558,31.3921747042766,71.8878812860676,37.4142480211082,23.8236750866766,42.2691292875989,36.9489846458643,0.0776875461411778,0.0835936169004486
Tennessee,6.0,Midwest,121.08,95.0107,65.0525,26.0697,51.5617253346554,47.7032734952482,17.1460700428095,16.2999003523851,45.0596252129472,72.0987654320988,38.7208725830441,36.2196409714889,31.7302925136341,44.4033790918691,0.110447412223812,0.105103182600079
